linha,palavra_chave,score
0,consta,0.6239895096186648
0,cpf,0.3864164097929102
0,invalido,0.679205013327063
1,cpf,0.3438710338705581
1,invalido,0.6044229080954744
1,parece,0.7186276227881887
2,cpf,0.29429118029298124
2,dizer,0.6150147888905466
2,invalido,0.5172762852904048
2,quer,0.5172762852904048
3,cpf,0.3438710338705581
3,invalido,0.6044229080954744
3,resolvo,0.7186276227881887
4,aparece,0.6345874053282968
4,cpf,0.33293153040954526
4,fazer,0.37947700529279427
4,invalido,0.5851945176707233
5,cpf,0.3438710338705581
5,invalido,0.6044229080954744
5,regularizo,0.7186276227881887
6,celular,0.28460430161135974
6,cliente,0.17339887227357714
6,consegue,0.31368196150635275
6,contas,0.3306913021536471
6,cpf,0.15823933892545713
6,diferentes,0.6613826043072942
6,duas,0.3306913021536471
6,utilizar,0.3306913021536471
7,cadastrar,0.3611323603760462
7,celular,0.4309113961687938
7,conta,0.2776524617954589
7,cpf,0.2395857479283935
7,diferente,0.5006904319615415
7,numero,0.42112042084829826
7,pode,0.34838663762595307
8,celular,0.5494110923672685
8,cpf,0.3054713072229958
8,pode,0.44419220481525085
8,usar,0.6383792111501166
9,cliente,0.3714826338931032
9,cpf,0.33900547125120933
9,restricao,0.6261102579163894
9,retirar,0.5958706974750985
10,cliente,0.3714826338931032
10,cpf,0.33900547125120933
10,restricao,0.6261102579163894
10,retirar,0.5958706974750985
11,cpf,0.3072912963074007
11,faco,0.5401266191454273
11,restricao,0.5675372496980076
11,retirar,0.5401266191454273
12,cliente,0.3916930737229131
12,cpf,0.35744899741795466
12,regularizar,0.6044739011186155
12,suspenso,0.5944897418028655
13,cpf,0.3884910067210492
13,regularizar,0.6569683397589388
13,suspenso,0.6461171242516709
14,cpf,0.5152959888776749
14,suspenso,0.8570122775354967
15,cpf,0.5152959888776749
15,suspenso,0.8570122775354967
16,cpf,0.3375551282783698
16,pessoa,0.4950089365807033
16,regularizar,0.5708318297349679
16,suspenso,0.5614033400681219
17,cpf,0.3278535173767292
17,documento,0.5646628773628795
17,incluir,0.5160233509953737
17,principal,0.5544256553402681
18,colocar,0.5893709181344251
18,cpf,0.3092090389847252
18,documento,0.5325514487590445
18,principal,0.5228964003434815
19,cadastro,0.4111410271830979
19,cpf,0.28948874306285466
19,documento,0.49858713711527
19,faco,0.508835030312029
19,principal,0.4895478546958113
20,base,0.5258554948645824
20,consta,0.5184495521318222
20,cpf,0.3210589465133028
20,margens,0.5929647656301394
21,base,0.5426308482750737
21,cadastro,0.47052421134472133
21,cpf,0.33130107072034876
21,margens,0.6118809766435402
22,base,0.4260738647235093
22,cadastro,0.3694557171065939
22,caminho,0.5436402052326329
22,cpf,0.2601376756179159
22,fazer,0.2965062095076497
22,margens,0.48044908117193813
23,base,0.4797502725895505
23,consignado,0.4797502725895505
23,consta,0.47299365774094215
23,cpf,0.29290958944288686
23,dados,0.4797502725895505
24,base,0.49238640294801106
24,cadastro,0.42695641919445876
24,consignado,0.49238640294801106
24,cpf,0.30062452774915455
24,dados,0.49238640294801106
25,base,0.4910921798140612
25,consignado,0.4910921798140612
25,consta,0.48417582998843867
25,cpf,0.299834345046878
25,data,0.4396931578228888
26,capitalizacao,0.5491292683513367
26,cpf,0.30531461371653135
26,regularizar,0.5163106260050869
26,resgate,0.5819479106975866
27,capitalizacao,0.4334156619470715
27,cpf,0.240978113957314
27,divergente,0.4593186950150583
27,regularizar,0.40751262887908474
27,resgate,0.4593186950150583
27,solicitacao,0.40751262887908474
28,aparece,0.4019306029859722
28,capitalizacao,0.3792639407900427
28,cpf,0.21086988119678038
28,divergente,0.4019306029859722
28,erro,0.36318168802478157
28,fazer,0.24035053371054133
28,preciso,0.3706464757676634
28,resgate,0.4019306029859722
29,cnpj,0.4077916868646267
29,cpf,0.2558947741748933
29,proceder,0.4497868338379584
29,receita,0.3895928629586251
29,regular,0.4497868338379584
29,site,0.46024429819155177
30,cnpj,0.4077916868646267
30,cpf,0.2558947741748933
30,proceder,0.4497868338379584
30,receita,0.3895928629586251
30,regular,0.4497868338379584
30,site,0.46024429819155177
31,cnpj,0.4077916868646267
31,cpf,0.2558947741748933
31,proceder,0.4497868338379584
31,receita,0.3895928629586251
31,regular,0.4497868338379584
31,site,0.46024429819155177
32,cpf,0.28025603214827793
32,proceder,0.4926066730765256
32,receita,0.42668221841626275
32,regular,0.4926066730765256
32,site,0.5040596911208373
33,bloqueio,0.3318733535637158
33,cnpj,0.3179940934511671
33,conta,0.23125048415548274
33,corrente,0.30380273375386274
33,cpf,0.19954557523790195
33,federal,0.3268313758402522
33,irregularidade,0.34367780946937715
33,junto,0.3318733535637158
33,quais,0.2296944682684587
33,receita,0.30380273375386274
33,regras,0.3507417171062964
34,cadastro,0.6058994904674543
34,cpf,0.42662023568797025
34,incluir,0.6714767173572143
35,cadastro,0.6058994904674543
35,cpf,0.42662023568797025
35,incluir,0.6714767173572143
36,cadastro,0.45570997606800423
36,cpf,0.3208702110732905
36,inclui,0.6360693736583519
36,onde,0.533653892754239
37,antigo,0.6654761673801547
37,cadastro,0.4522549514739687
37,cpf,0.31843749173649427
37,incluir,0.5012030460530628
38,consignado,0.4934732612043583
38,cpf,0.30128810466372496
38,erro,0.5189092051104612
38,localizacao,0.6296370822276152
39,base,0.4046723293779876
39,consignado,0.4046723293779876
39,cpf,0.24707105473270513
39,dados,0.4046723293779876
39,erro,0.4255310536081295
39,localizado,0.516333355339169
40,alterar,0.503634676805997
40,conta,0.4637412184280003
40,corrente,0.6092348322092515
40,cpf,0.40016135979426826
41,atualizo,0.6955140476003505
41,conta,0.38568978994268927
41,corrente,0.5066956421451626
41,cpf,0.3328109399578733
42,atendimento,0.3181956414782765
42,cliente,0.21592568596406603
42,cnpj,0.3140143176605605
42,cpf,0.19704821234403289
42,federal,0.32274099924531885
42,plataforma,0.411794755776836
42,receita,0.3000005663871931
42,regular,0.346352096596852
42,regularizar,0.3332237675429104
42,status,0.346352096596852
